trait,value,label
segment_insertion_angle,28.149595126875717,1
segment_insertion_angle,28.3211881481611,2
segment_insertion_angle,6.100602023250332,3
segment_path_length,279.134556889534,0
segment_path_length,472.8208485841751,1
segment_path_length,682.6959581375122,2
segment_eu_length,256.76643082770767,0
segment_eu_length,440.274914116169,1
segment_eu_length,662.3714969712993,2
segment_curvature,1.0871146823582851,0
segment_curvature,1.073921846156828,1
segment_curvature,1.030684383701815,2
segment_insertion_angle,47.3060627674704,0
segment_insertion_angle,89.76637087496155,1
segment_insertion_angle,3.1497777079300655,2
segment_path_length,142.39444243907928,0
segment_path_length,559.3427076339722,1
segment_path_length,365.1040753722191,2
segment_path_length,857.7468165159225,3
segment_eu_length,134.2013412749664,0
segment_eu_length,283.79041562392484,1
segment_eu_length,350.4069063246328,2
segment_eu_length,369.48883609657275,3
segment_curvature,1.0610508142934723,0
segment_curvature,1.9709710999373757,1
segment_curvature,1.0419431489000681,2
segment_curvature,2.321441766894777,3
segment_insertion_angle,45.85159265305086,0
segment_insertion_angle,38.11138505020429,1
segment_insertion_angle,11.972073511647075,2
segment_insertion_angle,22.385460061285727,3
segment_path_length,94.64213538169861,0
segment_path_length,818.3477599620819,1
segment_path_length,528.8157962560654,2
segment_eu_length,91.19758768739445,0
segment_eu_length,766.9035141398167,1
segment_eu_length,488.42706722703235,2
segment_curvature,1.0377701623656026,0
segment_curvature,1.0670804669345748,1
segment_curvature,1.0826914226075424,2
segment_insertion_angle,52.818044097005355,0
segment_insertion_angle,0.6595230662564404,1
segment_path_length,327.49494767189026,0
segment_path_length,566.2077125310898,1
segment_path_length,781.0828220844269,2
segment_eu_length,301.822795693102,0
segment_eu_length,521.4460662427132,1
segment_eu_length,722.6652060255842,2
segment_curvature,1.0850570346081216,0
segment_curvature,1.0858413730319365,1
segment_curvature,1.0808363479682659,2
segment_insertion_angle,46.46342392342768,0
segment_insertion_angle,32.081161296161774,1
segment_insertion_angle,3.666629961570436,2
segment_path_length,135.7132030725479,0
segment_path_length,96.13960921764374,1
segment_path_length,862.1208820939064,2
segment_path_length,763.3315590023994,3
segment_eu_length,129.75746606650424,0
segment_eu_length,89.69392398596462,1
segment_eu_length,757.5968584940147,2
segment_eu_length,697.0394536896746,3
segment_curvature,1.04589899284093,0
segment_curvature,1.0718631201003954,1
segment_curvature,1.1379678683035583,2
segment_curvature,1.095105241119161,3
segment_insertion_angle,31.36481105601084,0
segment_insertion_angle,37.42272940590493,1
segment_insertion_angle,0.24600292333633433,2
segment_insertion_angle,31.141614134313162,3
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,NA,NA
segment_eu_length,NA,NA
segment_curvature,NA,NA
segment_insertion_angle,NA,NA
segment_path_length,94.96803629398346,0
segment_path_length,835.5458060503006,1
segment_path_length,392.30107748508453,2
segment_path_length,728.8056915998459,3
segment_eu_length,89.35882720806042,0
segment_eu_length,699.6370487617133,1
segment_eu_length,354.5193929815406,2
segment_eu_length,465.537323960174,3
segment_curvature,1.0627717401982317,0
segment_curvature,1.1942560896812597,1
segment_curvature,1.1065715592757748,2
segment_curvature,1.5655150598885046,3
segment_insertion_angle,51.06426325401034,0
segment_insertion_angle,53.13904249742845,1
segment_insertion_angle,38.125591843677924,2
segment_insertion_angle,0.2503810745943156,3
segment_path_length,59.61269783973694,0
segment_path_length,434.0878744125366,1
segment_path_length,750.415863275528,2
segment_path_length,920.235062122345,3
segment_eu_length,53.33854141237835,0
segment_eu_length,337.91271062213684,1
segment_eu_length,698.6572836520063,2
segment_eu_length,881.028943905931,3
segment_curvature,1.1176289463720233,0
segment_curvature,1.2846154073734901,1
segment_curvature,1.0740829314094749,2
segment_curvature,1.0445003748033506,3
segment_insertion_angle,37.35460009016688,0
segment_insertion_angle,31.676252200552227,1
segment_insertion_angle,0.2936708135538595,2
segment_path_length,201.19343197345734,0
segment_path_length,503.3096999526024,1
segment_path_length,499.66652059555054,2
segment_path_length,781.6980460882187,3
segment_eu_length,183.34939323597447,0
segment_eu_length,277.35356496717327,1
segment_eu_length,476.59206875482096,2
segment_eu_length,551.762630122773,3
segment_curvature,1.097322594978633,0
segment_curvature,1.814686247181184,1
segment_curvature,1.0484155179103496,2
segment_curvature,1.4167288674738314,3
segment_insertion_angle,40.70655640648566,0
segment_insertion_angle,28.457013289995984,1
segment_insertion_angle,6.94300340453384,2
segment_insertion_angle,20.5565284680859,3
segment_path_length,88.03300768136978,0
segment_path_length,251.58326029777527,1
segment_path_length,467.25439500808716,2
segment_path_length,753.8767592906952,3
segment_path_length,775.7802624106407,4
segment_eu_length,79.63039620647382,0
segment_eu_length,239.4159560263267,1
segment_eu_length,316.0284797292801,2
segment_eu_length,475.631159618459,3
segment_eu_length,725.4247031911721,4
segment_curvature,1.1055201515399824,0
segment_curvature,1.050820774326798,1
segment_curvature,1.4785198960813657,2
segment_curvature,1.585002883106815,3
segment_curvature,1.0694152804528885,4
segment_insertion_angle,7.614767991015781,0
segment_insertion_angle,26.407635520101167,1
segment_insertion_angle,30.533454090615226,2
segment_insertion_angle,1.7119527645178323,3
segment_path_length,195.12846058607101,0
segment_path_length,526.4848430156708,1
segment_path_length,727.4503531455994,2
segment_path_length,395.49494767189026,3
segment_eu_length,181.04419349981927,0
segment_eu_length,402.24370722237535,1
segment_eu_length,433.75684432640367,2
segment_eu_length,371.6517186829626,3
segment_curvature,1.077794635740504,0
segment_curvature,1.3088703031583047,1
segment_curvature,1.6770925062295736,2
segment_curvature,1.0641547658475032,3
segment_insertion_angle,48.96160499963312,0
segment_insertion_angle,31.462125770072333,1
segment_insertion_angle,14.049653132624874,2
segment_insertion_angle,10.23445107499549,3
segment_path_length,137.66652059555054,0
segment_path_length,479.7518688440323,1
segment_path_length,515.3893901109695,2
segment_path_length,731.8969686031342,3
segment_eu_length,127.00393694685216,0
segment_eu_length,454.31817044886066,1
segment_eu_length,474.352189833672,2
segment_eu_length,715.7157256900256,3
segment_curvature,1.083954749002469,0
segment_curvature,1.055982128934098,1
segment_curvature,1.0865120919789302,2
segment_curvature,1.0226084775453386,3
segment_insertion_angle,42.73445323144079,0
segment_insertion_angle,30.22496336042417,1
segment_insertion_angle,19.596564049575278,2
segment_insertion_angle,11.74481945758241,3
segment_path_length,65.96193999052048,0
segment_path_length,348.1051193475723,1
segment_path_length,570.9751765727997,2
segment_path_length,591.2361060976982,3
segment_eu_length,61.85466837676846,0
segment_eu_length,214.64622055838765,1
segment_eu_length,210.09759636892565,2
segment_eu_length,544.2912823112272,3
segment_curvature,1.066401966440655,0
segment_curvature,1.6217621649335374,1
segment_curvature,2.717666391433545,2
segment_curvature,1.0862494500869626,3
segment_insertion_angle,44.53271909650009,0
segment_insertion_angle,8.123617084181731,1
segment_insertion_angle,24.85507205005473,2
